File_Name,Note,Presence_of_Vibrato,Peak_Percentage,Mean_Difference,Max_Difference,Index_Max (First one/ Last one would make more sense),Location_Max(%),Start_End_Time (seconds),Duration,Notes
154210__carlos-vaquero__transverse-flute-d-5-tenuto-non-vibrato.wav,D#5,no vibrato,5.271695053,14.09375,149,26,0.4218,nan,nan,
154211__carlos-vaquero__transverse-flute-e-5-tenuto-non-vibrato.wav,E5,no vibrato,6.824146982,11.63636364,172,35,0.4675,nan,nan,
154212__carlos-vaquero__transverse-flute-f-5-tenuto-non-vibrato.wav,F5,no vibrato,3.663793103,15.36,451,4,0.1,nan,nan,
154213__carlos-vaquero__transverse-flute-f-5-tenuto-non-vibrato.wav,F#5,no vibrato,6.144781145,12.2,339,35,0.5,nan,nan,
154214__carlos-vaquero__transverse-flute-g-5-tenuto-non-vibrato.wav,G5,no vibrato,3.690987124,20.976,145,15,0.381,nan,nan,
154215__carlos-vaquero__transverse-flute-g-5-tenuto-non-vibrato.wav,G#5,no vibrato,1.707498144,42.772727,266,2,0.13636,nan,nan,
154216__carlos-vaquero__transverse-flute-a-5-tenuto-non-vibrato.wav,A5,no vibrato,1.963746224,36.64,385,4,0.2,nan,nan,
154217__carlos-vaquero__transverse-flute-a-5-tenuto-non-vibrato.wav,A#5,no vibrato,1.135442011,68.769,606,2,0.23,nan,nan,
154218__carlos-vaquero__transverse-flute-b-5-tenuto-non-vibrato.wav,B5,no vibrato,3.503184713,21.837,287,13,0.32558,nan,nan,
154219__carlos-vaquero__transverse-flute-c-6-tenuto-non-vibrato.wav,C6,no vibrato,8.497723824,8.783783784,170,56,0.5135,nan,nan,
154220__carlos-vaquero__transverse-flute-c-6-tenuto-non-vibrato.wav,C#6,no vibrato,1.58045977,38.38095238,151,7,0.38,nan,nan,
154221__carlos-vaquero__transverse-flute-d-6-tenuto-non-vibrato.wav,D6,no vibrato,3.376436782,23.0869,531,2,0.06521,nan,nan,
154222__carlos-vaquero__transverse-flute-d-6-tenuto-non-vibrato.wav,D#6,no vibrato,5.236051502,16.2833,497,15,0.2666667,nan,nan,
154223__carlos-vaquero__transverse-flute-e-6-tenuto-non-vibrato.wav,E6,no vibrato,2.920830131,22.648,243,3,0.108108,nan,nan,
154224__carlos-vaquero__transverse-flute-f-6-tenuto-non-vibrato.wav,F6,no vibrato,3.65230095,20.489,359,16,0.3469,nan,nan,
154225__carlos-vaquero__transverse-flute-f-6-tenuto-non-vibrato.wav,F#6,no vibrato,4.752851711,17.0408,239,5,0.122,nan,nan,
154226__carlos-vaquero__transverse-flute-g-6-tenuto-non-vibrato.wav,G6,no vibrato,2.382782475,32.86667,295,9,0.333,nan,nan,
154227__carlos-vaquero__transverse-flute-g-6-tenuto-non-vibrato.wav,G#6,no vibrato,4.606830818,18.667,407,23,0.421,nan,nan,
,No vibrato peak percentge values are too large for no vibrato. This is because recordings have noises which are not eliminated completely,,,,,,,,,
154238__carlos-vaquero__transverse-flute-c-4-tenuto-vibrato.wav,C4,vibrato,6.035379813,12.72,48,7,0.0695,0.58:5.06,4.48,
154239__carlos-vaquero__transverse-flute-c-4-tenuto-vibrato.wav,C#4,vibrato,5.141388175,16.46,149,3,0.040404,0.90:5.1,4.2,
154240__carlos-vaquero__transverse-flute-d-4-tenuto-vibrato.wav,D4,vibrato,5.568891023,14.72,57,2,0.026,0.8:4.96,4.16,
154241__carlos-vaquero__transverse-flute-d-4-tenuto-vibrato.wav,D#4,vibrato,6.44379845,12.742,54,86,0.659,0.58:5.24,4.76,
154242__carlos-vaquero__transverse-flute-e-4-tenuto-vibrato.wav,E4,vibrato,6.382978723,12.032,57,2,0.024,0.95:4.82,3.87,
154243__carlos-vaquero__transverse-flute-f-4-tenuto-vibrato.wav,F4,vibrato,6.62112454,12.32,74,3,0.032,0.82:4.94,4.12,
154244__carlos-vaquero__transverse-flute-f-4-tenuto-vibrato.wav,F#4,vibrato,6.762849414,11.5637,45,70,0.47651,0.47:5.43,4.96,
154245__carlos-vaquero__transverse-flute-g-4-tenuto-vibrato.wav,G4,vibrato,7.732164209,10.787564,40,10191,0.0569,0.55:6.56,6.01,
154246__carlos-vaquero__transverse-flute-g-4-tenuto-vibrato.wav,G#4,vibrato,7.495667244,10.98255,42,135,0.79069,0.43:5.86,5.43,
154247__carlos-vaquero__transverse-flute-a-4-tenuto-vibrato.wav,A4,vibrato,8.370044053,9.9047,49,3,0.021164,0.54:5.69,5.15,
154248__carlos-vaquero__transverse-flute-a-4-tenuto-vibrato.wav,A#4,vibrato,6.242350061,13.046,47,86,0.57236,0.52:6.23,5.71,
154249__carlos-vaquero__transverse-flute-b-4-tenuto-vibrato.wav,B4,vibrato,8.500700607,9.8232,47,0,0.0055,0.62:5.55,4.93,
154250__carlos-vaquero__transverse-flute-c-5-tenuto-vibrato.wav,C5,vibrato,8.454425363,9.4869,40,190,1,0.70:5.94,5.24,
154251__carlos-vaquero__transverse-flute-c-5-tenuto-vibrato.wav,C#5,vibrato,7.325530993,11.0119,60,0,0.00595,0.72:5.88,5.16,
154252__carlos-vaquero__transverse-flute-d-5-tenuto-vibrato.wav,D5,vibrato,5.392392874,14.198,93,109,0.99,0.99:4.82,3.83,
154253__carlos-vaquero__transverse-flute-d-5-tenuto-vibrato.wav,D#5,vibrato,4.606365159,17.20183486,65,0,0.00917,1.13:5.8,4.67,
154254__carlos-vaquero__transverse-flute-e-5-tenuto-vibrato.wav,E5,vibrato,3.990024938,21.55789,60,0,0.010526,0.62:6.39,5.77,
154255__carlos-vaquero__transverse-flute-f-5-tenuto-vibrato.wav,F5,vibrato,6.079463858,13.28571,47,0,0.007936,0.57:5.16,4.59,
154256__carlos-vaquero__transverse-flute-f-5-tenuto-vibrato.wav,F#5,vibrato,6.435185185,11.8623,48,131,0.9565,0.94:5.6,4.66,
154257__carlos-vaquero__transverse-flute-g-5-tenuto-vibrato.wav,G5,vibrato,8.434864105,10.24,39,162,0.91061,0.27:5.47,5.2,
154258__carlos-vaquero__transverse-flute-g-5-tenuto-vibrato.wav,G#5,vibrato,9.235395189,9.5747,52,189,0.8878,0.54:6.12,5.58,
154259__carlos-vaquero__transverse-flute-a-5-tenuto-vibrato.wav,A5,vibrato,6.23038996,13.9927,52,0,0.007246,0.44:5.94,5.5,
154260__carlos-vaquero__transverse-flute-a-5-tenuto-vibrato.wav,A#5,vibrato,9.442060086,9.3828,40,154,0.88571,0.3:5.0,4.7,
154261__carlos-vaquero__transverse-flute-b-5-tenuto-vibrato.wav,B5,vibrato,8.368794326,10.59,36,171,0.977,0.26:5.73,5.47,
154262__carlos-vaquero__transverse-flute-c-6-tenuto-vibrato.wav,C6,vibrato,5.567638104,15.16,44,122,0.9685,0.46:6.07,5.61,
154263__carlos-vaquero__transverse-flute-c-6-tenuto-vibrato.wav,C#6,vibrato,8.92410342,9.3051,33,153,0.723,0.54:6.34,5.8,
154264__carlos-vaquero__transverse-flute-d-6-tenuto-vibrato.wav,D6,vibrato,7.219375873,11.45,53,1,0.012987,0.57:5.46,4.89,
154265__carlos-vaquero__transverse-flute-d-6-tenuto-vibrato.wav,D#6,vibrato,6.312292359,13.523,36,105,0.70198,0.58:6.52,5.94,
154266__carlos-vaquero__transverse-flute-e-6-tenuto-vibrato.wav,E6,vibrato,8.387744852,10.21,56,1,0.012,0.49:5.24,4.75,
154267__carlos-vaquero__transverse-flute-f-6-tenuto-vibrato.wav,F6,vibrato,5.691439323,14.7,46,1,0.01667,0.35:5.5,5.15,
154268__carlos-vaquero__transverse-flute-f-6-tenuto-vibrato.wav,F#6,vibrato,8.053007136,11.064,44,0,0.006369,0.39:5.22,4.83,
154269__carlos-vaquero__transverse-flute-g-6-tenuto-vibrato.wav,G6,vibrato,6.05782469,14.1755,53,129,0.9923,0.51:5.59,5.08,
154270__carlos-vaquero__transverse-flute-g-6-tenuto-vibrato.wav,G#6,vibrato,4.04494382,20.2817,48,68,0.9718,0.27:4.45,4.18,
154271__carlos-vaquero__transverse-flute-a-6-tenuto-vibrato.wav,A6,vibrato,0.8490566038,14,46,"1,9",0.1176,0.48:5.68,5.2,
154272__carlos-vaquero__transverse-flute-a-6-tenuto-vibrato.wav,A#6,vibrato,5.035971223,14.88,58,23,0.2307,0.54:5.0,4.46,
154273__carlos-vaquero__transverse-flute-b-6-tenuto-vibrato.wav,B6,vibrato,4.413347686,18.33,68,4,0.0617,0.42:4.62,4.2,
154274__carlos-vaquero__transverse-flute-c-7-tenuto-vibrato.wav,C7,vibrato,7.700101317,10.68,84,51,0.344,0.7:4.7,4,
